"Time","Value","Commodity","Country"
2009-01-01,330.33,"Rice","THI"
2009-02-01,333,"Rice","THI"
2009-03-01,335,"Rice","THI"
2009-04-01,341,"Rice","THI"
2009-05-01,316.4,"Rice","THI"
2009-06-01,319.67,"Rice","THI"
2009-07-01,322.6,"Rice","THI"
2009-08-01,309.75,"Rice","THI"
2009-09-01,306.5,"Rice","THI"
2009-10-01,302.6,"Rice","THI"
2009-11-01,338.5,"Rice","THI"
2009-12-01,394.25,"Rice","THI"
2010-01-01,426.25,"Rice","THI"
2010-02-01,410.5,"Rice","THI"
2010-03-01,388.5,"Rice","THI"
2010-04-01,341.25,"Rice","THI"
2010-05-01,320,"Rice","THI"
2010-06-01,327.25,"Rice","THI"
2010-07-01,345.4,"Rice","THI"
2010-08-01,372.5,"Rice","THI"
2010-09-01,413.5,"Rice","THI"
2010-10-01,430.5,"Rice","THI"
2010-11-01,430.25,"Rice","THI"
2010-12-01,423.2,"Rice","THI"
2011-01-01,411.75,"Rice","THI"
2011-02-01,433,"Rice","THI"
2011-03-01,429,"Rice","THI"
2011-04-01,423.25,"Rice","THI"
2011-05-01,418.75,"Rice","THI"
2011-06-01,420.75,"Rice","THI"
2011-07-01,444.6,"Rice","THI"
2011-08-01,470.75,"Rice","THI"
2011-09-01,497,"Rice","THI"
2011-10-01,505,"Rice","THI"
2011-11-01,553,"Rice","THI"
2011-12-01,560.2,"Rice","THI"
2012-01-01,515,"Rice","THI"
2012-02-01,530,"Rice","THI"
2012-03-01,542.75,"Rice","THI"
2012-04-01,546,"Rice","THI"
2012-05-01,553.75,"Rice","THI"
2012-06-01,544.6,"Rice","THI"
2012-07-01,536.5,"Rice","THI"
2012-08-01,531.8,"Rice","THI"
2012-09-01,540,"Rice","THI"
2012-10-01,544.5,"Rice","THI"
2012-11-01,544.6,"Rice","THI"
2012-12-01,546.25,"Rice","THI"
2013-01-01,557.67,"Rice","THI"
2013-02-01,562,"Rice","THI"
2013-03-01,556.75,"Rice","THI"
2013-04-01,551.33,"Rice","THI"
2013-05-01,539.2,"Rice","THI"
2013-06-01,517.5,"Rice","THI"
2013-07-01,509,"Rice","THI"
2013-08-01,472.2,"Rice","THI"
2013-09-01,406.5,"Rice","THI"
2013-10-01,404.75,"Rice","THI"
2013-11-01,375.5,"Rice","THI"
2013-12-01,347,"Rice","THI"
2014-01-01,308.75,"Rice","THI"
2014-02-01,311,"Rice","THI"
2014-03-01,311.75,"Rice","THI"
2014-04-01,307,"Rice","THI"
2014-05-01,298.4,"Rice","THI"
2014-06-01,313.25,"Rice","THI"
2014-07-01,325,"Rice","THI"
2014-08-01,342.6,"Rice","THI"
2014-09-01,336.25,"Rice","THI"
2014-10-01,345,"Rice","THI"
2014-11-01,338,"Rice","THI"
2014-12-01,331.5,"Rice","THI"
2015-01-01,329.5,"Rice","THI"
2015-02-01,330.67,"Rice","THI"
2015-03-01,329.75,"Rice","THI"
2015-04-01,332.67,"Rice","THI"
2015-05-01,325.67,"Rice","THI"
2015-06-01,326.75,"Rice","THI"
2015-07-01,321.4,"Rice","THI"
2015-08-01,323.75,"Rice","THI"
2015-09-01,315.75,"Rice","THI"
2015-10-01,323,"Rice","THI"
2015-11-01,329,"Rice","THI"
2015-12-01,331.5,"Rice","THI"
2016-01-01,330.75,"Rice","THI"
2016-02-01,338.75,"Rice","THI"
2016-03-01,342.75,"Rice","THI"
2016-04-01,350.75,"Rice","THI"
2016-05-01,355.33,"Rice","THI"
2016-06-01,356.25,"Rice","THI"
2016-07-01,361.5,"Rice","THI"
2016-08-01,367,"Rice","THI"
2016-09-01,357.8,"Rice","THI"
2016-10-01,349.25,"Rice","THI"
2016-11-01,332.5,"Rice","THI"
2016-12-01,331.25,"Rice","THI"
2017-01-01,336,"Rice","THI"
2017-02-01,339,"Rice","THI"
2017-03-01,340.4,"Rice","THI"
2017-04-01,332,"Rice","THI"
2017-05-01,321.67,"Rice","THI"
2017-06-01,336.6,"Rice","THI"
2017-07-01,337,"Rice","THI"
2017-08-01,339,"Rice","THI"
2017-09-01,336.6,"Rice","THI"
2017-10-01,327.5,"Rice","THI"
2017-11-01,329.67,"Rice","THI"
2017-12-01,337.8,"Rice","THI"
2009-01-01,341.6,"Rice","PAK"
2009-02-01,353.33,"Rice","PAK"
2009-03-01,350,"Rice","PAK"
2009-04-01,360,"Rice","PAK"
2009-05-01,360,"Rice","PAK"
2009-06-01,340,"Rice","PAK"
2009-07-01,340,"Rice","PAK"
2009-08-01,370,"Rice","PAK"
2009-09-01,360,"Rice","PAK"
2009-10-01,317.5,"Rice","PAK"
2009-11-01,345,"Rice","PAK"
2009-12-01,380,"Rice","PAK"
2010-01-01,401.25,"Rice","PAK"
2010-02-01,363.75,"Rice","PAK"
2010-03-01,354.5,"Rice","PAK"
2010-04-01,324.6,"Rice","PAK"
2010-05-01,323.25,"Rice","PAK"
2010-06-01,340,"Rice","PAK"
2010-07-01,360.25,"Rice","PAK"
2010-08-01,354.75,"Rice","PAK"
2010-09-01,382.5,"Rice","PAK"
2010-10-01,404.4,"Rice","PAK"
2010-11-01,428.75,"Rice","PAK"
2010-12-01,430.8,"Rice","PAK"
2011-01-01,428,"Rice","PAK"
2011-02-01,427.75,"Rice","PAK"
2011-03-01,426,"Rice","PAK"
2011-04-01,423.8,"Rice","PAK"
2011-05-01,430.5,"Rice","PAK"
2011-06-01,454,"Rice","PAK"
2011-07-01,467,"Rice","PAK"
2011-08-01,466,"Rice","PAK"
2011-09-01,455,"Rice","PAK"
2011-10-01,418,"Rice","PAK"
2011-11-01,405,"Rice","PAK"
2011-12-01,391,"Rice","PAK"
2012-01-01,379,"Rice","PAK"
2012-02-01,379,"Rice","PAK"
2012-03-01,415,"Rice","PAK"
2012-04-01,411,"Rice","PAK"
2012-05-01,412,"Rice","PAK"
2012-06-01,411,"Rice","PAK"
2012-07-01,404,"Rice","PAK"
2012-08-01,396,"Rice","PAK"
2012-09-01,399,"Rice","PAK"
2012-10-01,395,"Rice","PAK"
2012-11-01,380,"Rice","PAK"
2012-12-01,368,"Rice","PAK"
2013-01-01,370,"Rice","PAK"
2013-02-01,372,"Rice","PAK"
2013-03-01,382,"Rice","PAK"
2013-04-01,378,"Rice","PAK"
2013-05-01,384,"Rice","PAK"
2013-06-01,408,"Rice","PAK"
2013-07-01,396,"Rice","PAK"
2013-08-01,376,"Rice","PAK"
2013-09-01,356,"Rice","PAK"
2013-10-01,342,"Rice","PAK"
2013-11-01,345,"Rice","PAK"
2013-12-01,349,"Rice","PAK"
2014-01-01,356,"Rice","PAK"
2014-02-01,356,"Rice","PAK"
2014-03-01,374,"Rice","PAK"
2014-04-01,376,"Rice","PAK"
2014-05-01,382,"Rice","PAK"
2014-06-01,385,"Rice","PAK"
2014-07-01,390,"Rice","PAK"
2014-08-01,392,"Rice","PAK"
2014-09-01,359,"Rice","PAK"
2014-10-01,345,"Rice","PAK"
2014-11-01,352,"Rice","PAK"
2014-12-01,331,"Rice","PAK"
2015-01-01,326,"Rice","PAK"
2015-02-01,316,"Rice","PAK"
2015-03-01,318,"Rice","PAK"
2015-04-01,333,"Rice","PAK"
2015-05-01,352.6,"Rice","PAK"
2015-06-01,346,"Rice","PAK"
2015-07-01,331.8,"Rice","PAK"
2015-08-01,323.8,"Rice","PAK"
2015-09-01,303,"Rice","PAK"
2015-10-01,285.6,"Rice","PAK"
2015-11-01,287.3,"Rice","PAK"
2015-12-01,296.3,"Rice","PAK"
2016-01-01,302.6,"Rice","PAK"
2016-02-01,310,"Rice","PAK"
2016-03-01,308.8,"Rice","PAK"
2016-04-01,317.4,"Rice","PAK"
2016-05-01,347.5,"Rice","PAK"
2016-06-01,360,"Rice","PAK"
2016-07-01,367,"Rice","PAK"
2016-08-01,346.3,"Rice","PAK"
2016-09-01,318.2,"Rice","PAK"
2016-10-01,309,"Rice","PAK"
2016-11-01,317,"Rice","PAK"
2016-12-01,321.4,"Rice","PAK"
2017-01-01,339.5,"Rice","PAK"
2017-02-01,343.75,"Rice","PAK"
2017-03-01,338.2,"Rice","PAK"
2017-04-01,355,"Rice","PAK"
2017-05-01,366.5,"Rice","PAK"
2017-06-01,373,"Rice","PAK"
2017-07-01,367.25,"Rice","PAK"
2017-08-01,345.75,"Rice","PAK"
2017-09-01,343.6,"Rice","PAK"
2017-10-01,338.75,"Rice","PAK"
2017-11-01,343,"Rice","PAK"
2017-12-01,340.8,"Rice","PAK"
2009-01-01,360,"Rice","VIN"
2009-02-01,393.33,"Rice","VIN"
2009-03-01,400,"Rice","VIN"
2009-04-01,400,"Rice","VIN"
2009-05-01,376.67,"Rice","VIN"
2009-06-01,361.67,"Rice","VIN"
2009-07-01,358.75,"Rice","VIN"
2009-08-01,345,"Rice","VIN"
2009-09-01,332.5,"Rice","VIN"
2009-10-01,360,"Rice","VIN"
2009-11-01,432.5,"Rice","VIN"
2009-12-01,487.5,"Rice","VIN"
2010-01-01,451.25,"Rice","VIN"
2010-02-01,401.25,"Rice","VIN"
2010-03-01,361.25,"Rice","VIN"
2010-04-01,328,"Rice","VIN"
2010-05-01,331.67,"Rice","VIN"
2010-06-01,343,"Rice","VIN"
2010-07-01,325.4,"Rice","VIN"
2010-08-01,332.5,"Rice","VIN"
2010-09-01,427,"Rice","VIN"
2010-10-01,432.5,"Rice","VIN"
2010-11-01,451.67,"Rice","VIN"
2010-12-01,458.5,"Rice","VIN"
2011-01-01,455,"Rice","VIN"
2011-02-01,420,"Rice","VIN"
2011-03-01,425.75,"Rice","VIN"
2011-04-01,421.2,"Rice","VIN"
2011-05-01,438,"Rice","VIN"
2011-06-01,430.5,"Rice","VIN"
2011-07-01,466,"Rice","VIN"
2011-08-01,530,"Rice","VIN"
2011-09-01,515,"Rice","VIN"
2011-10-01,524,"Rice","VIN"
2011-11-01,515,"Rice","VIN"
2011-12-01,464,"Rice","VIN"
2012-01-01,410,"Rice","VIN"
2012-02-01,395,"Rice","VIN"
2012-03-01,387,"Rice","VIN"
2012-04-01,384,"Rice","VIN"
2012-05-01,388,"Rice","VIN"
2012-06-01,369,"Rice","VIN"
2012-07-01,379,"Rice","VIN"
2012-08-01,407,"Rice","VIN"
2012-09-01,421,"Rice","VIN"
2012-10-01,420,"Rice","VIN"
2012-11-01,418,"Rice","VIN"
2012-12-01,384,"Rice","VIN"
2013-01-01,373,"Rice","VIN"
2013-02-01,369,"Rice","VIN"
2013-03-01,369,"Rice","VIN"
2013-04-01,361,"Rice","VIN"
2013-05-01,352,"Rice","VIN"
2013-06-01,341,"Rice","VIN"
2013-07-01,352,"Rice","VIN"
2013-08-01,362,"Rice","VIN"
2013-09-01,340,"Rice","VIN"
2013-10-01,362,"Rice","VIN"
2013-11-01,375,"Rice","VIN"
2013-12-01,398,"Rice","VIN"
2014-01-01,380,"Rice","VIN"
2014-02-01,368,"Rice","VIN"
2014-03-01,358,"Rice","VIN"
2014-04-01,356,"Rice","VIN"
2014-05-01,364,"Rice","VIN"
2014-06-01,365,"Rice","VIN"
2014-07-01,379,"Rice","VIN"
2014-08-01,409,"Rice","VIN"
2014-09-01,408,"Rice","VIN"
