"Commodity","Time","Country","Quantity","Value","ImportPrice","Impute"
"Maize",2013-01-01,"UKR",0,0,235.543650378857,1
"Maize",2013-01-01,"USA",394249.8,114210000,289.689430406813,0
"Maize",2013-02-01,"UKR",0,0,208.791986322886,1
"Maize",2013-02-01,"USA",394124.4,113969000,289.17011989108,0
"Maize",2013-03-01,"UKR",0,0,256.831675425737,1
"Maize",2013-03-01,"USA",236810,69017000,291.444618048224,0
"Maize",2013-04-01,"UKR",0,0,216.764908238633,1
"Maize",2013-04-01,"USA",419515.8,122303000,291.533715774233,0
"Maize",2013-05-01,"UKR",0,0,278.672863219603,1
"Maize",2013-05-01,"USA",62075.3999999999,18468000,297.509158217265,0
"Maize",2013-06-01,"UKR",0,0,224.097597646878,1
"Maize",2013-06-01,"USA",740.300000000047,737000.000000044,995.542347696876,0
"Maize",2013-07-01,"UKR",0,0,301.245372882179,1
"Maize",2013-07-01,"USA",927.100000000093,835999.999999985,901.736597993638,0
"Maize",2013-08-01,"UKR",0,0,230.603284334063,1
"Maize",2013-08-01,"USA",824.699999999953,775999.999999985,940.948223596495,0
"Maize",2013-09-01,"UKR",0,0,324.74575832673,1
"Maize",2013-09-01,"USA",905.100000000093,690000,762.346702021798,0
"Maize",2013-10-01,"UKR",0,0,236.074396653894,1
"Maize",2013-10-01,"USA",33961.5,10528000,309.998086068049,0
"Maize",2013-11-01,"UKR",0,0,349.393912139027,1
"Maize",2013-11-01,"USA",727843.6,204902000,281.519271447877,0
"Maize",2013-12-01,"UKR",108949.1,26178000,240.277340519564,0
"Maize",2013-12-01,"USA",607201.1,166615000,274.398383006882,0
"Maize",2014-01-01,"UKR",570,214000,375.438596491228,0
"Maize",2014-01-01,"USA",609722,167973000,275.491125463736,0
"Maize",2014-02-01,"UKR",192373.9,49346000,256.510888431331,0
"Maize",2014-02-01,"USA",205857.1,58339000,283.395617639615,0
"Maize",2014-03-01,"UKR",542.700000000012,218000.000000002,401.695227565869,0
"Maize",2014-03-01,"USA",12022.7000000001,3810999.99999999,316.983705823148,0
"Maize",2014-04-01,"UKR",42800,11347000,265.116822429907,0
"Maize",2014-04-01,"USA",8568.19999999995,3409000.00000001,397.866529726201,0
"Maize",2014-05-01,"UKR",0,0,343.215571326091,1
"Maize",2014-05-01,"USA",64570.3,17682000,273.841069346123,0
"Maize",2014-06-01,"UKR",0,0,284.014048836054,1
"Maize",2014-06-01,"USA",6580.19999999995,2873999.99999998,436.764839974469,0
"Maize",2014-07-01,"UKR",42973,12273000,285.597933586206,0
"Maize",2014-07-01,"USA",6371.30000000005,2727000.00000001,428.013121341012,0
"Maize",2014-08-01,"UKR",99263,30030000,302.529643472391,0
"Maize",2014-08-01,"USA",13807.5,4607000.00000001,333.659243164947,0
"Maize",2014-09-01,"UKR",1425.70000000001,420000,294.592130181663,0
"Maize",2014-09-01,"USA",16108.6,5652999.99999999,350.930558831928,0
"Maize",2014-10-01,"UKR",0,0,282.862162030209,1
"Maize",2014-10-01,"USA",14056.9,4805000,341.825011204461,0
"Maize",2014-11-01,"UKR",150397.3,38961000,259.053852695494,0
"Maize",2014-11-01,"USA",19918.7,6744000.00000001,338.576312711172,0
"Maize",2014-12-01,"UKR",375279.4,98800000,263.270512583425,0
"Maize",2014-12-01,"USA",18411.6,6720999.99999999,365.041604206044,0
"Maize",2015-01-01,"UKR",396046.5,105779000,267.087324341965,0
"Maize",2015-01-01,"USA",20524.1,6390000,311.341301202002,0
"Maize",2015-02-01,"UKR",529199.8,138120000,260.99783106494,0
"Maize",2015-02-01,"USA",13664.6,4053000,296.605828198411,0
"Maize",2015-03-01,"UKR",36127.7,9446999.99999997,261.489106696523,0
"Maize",2015-03-01,"USA",3139.8,1118000,356.073635263392,0
"Maize",2015-04-01,"UKR",94766.2,19106000,201.611967135962,0
"Maize",2015-04-01,"USA",3343.4,2877000,860.50128611593,0
"Maize",2015-05-01,"UKR",381806.2,82982000,217.340629879766,0
"Maize",2015-05-01,"USA",4591.9,3327000,724.53668416124,0
"Maize",2015-06-01,"UKR",759503.4,162229000,213.598780466289,0
"Maize",2015-06-01,"USA",56118.7,14009000,249.631584480752,0
"Maize",2015-07-01,"UKR",921421.4,196562000,213.324761070233,0
"Maize",2015-07-01,"USA",161509,37095000,229.677603105709,0
"Maize",2015-08-01,"UKR",443517,94935000,214.050419713337,0
"Maize",2015-08-01,"USA",152039.9,33939000,223.224298358523,0
"Maize",2015-09-01,"UKR",149894.8,32400000,216.151594318149,0
"Maize",2015-09-01,"USA",12166.6,4696000,385.974717669687,0
"Maize",2015-10-01,"UKR",45.3999999999069,8999.99999994179,198.23788546168,0
"Maize",2015-10-01,"USA",3755.90000000002,3098000.00000001,824.835592001915,0
"Maize",2015-11-01,"UKR",0,0,207.935274139208,1
"Maize",2015-11-01,"USA",2555,2359000,923.287671232875,0
"Maize",2015-12-01,"UKR",0,0,197.501908451107,1
"Maize",2015-12-01,"USA",29693.4,8795000,296.19376696505,0
"Maize",2016-01-01,"UKR",0,0,199.845341785323,1
"Maize",2016-01-01,"USA",1391.3,1397000,1004.09688780277,0
"Maize",2016-02-01,"UKR",52500,10326000,196.685714285714,0
"Maize",2016-02-01,"USA",403.7,406000,1005.69729997523,0
"Maize",2016-03-01,"UKR",536993.7,102990000,191.789959547011,0
"Maize",2016-03-01,"USA",1197.8,1228000,1025.21289029888,0
"Maize",2016-04-01,"UKR",996495.3,190250000,190.919114219605,0
"Maize",2016-04-01,"USA",110769,22527000,203.369173685779,0
"Maize",2016-05-01,"UKR",1024956.9,195480000,190.720214674393,0
"Maize",2016-05-01,"USA",6226.89999999999,2082000,334.355778959033,0
"Maize",2016-06-01,"UKR",569.399999999907,105999.999999985,186.160871092383,0
"Maize",2016-06-01,"USA",68120.3,14414000,211.596249576117,0
"Maize",2016-07-01,"UKR",5914.90000000037,1122000.00000004,189.690442780093,0
"Maize",2016-07-01,"USA",9525.39999999999,2909000.00000001,305.393999202134,0
"Maize",2016-08-01,"UKR",8654.89999999991,1627999.99999996,188.101537857165,0
"Maize",2016-08-01,"USA",2243.30000000002,648999.999999996,289.305933223372,0
"Maize",2016-09-01,"UKR",0,0,192.7768482725,1
"Maize",2016-09-01,"USA",4942.59999999998,1316000,266.256626067254,0
"Maize",2016-10-01,"UKR",0,0,187.656230389869,1
"Maize",2016-10-01,"USA",1315,1219000,926.996197718628,0
"Maize",2016-11-01,"UKR",0,0,195.92475598432,1
"Maize",2016-11-01,"USA",3050,2990000,980.327868852459,0
"Maize",2016-12-01,"UKR",34238.27,6406900.00000002,187.126861257885,0
"Maize",2016-12-01,"USA",11688.1,4733000,404.941778389986,0
"Maize",2017-01-01,"UKR",150160.8,29909000,199.179812574254,0
"Maize",2017-01-01,"USA",7159.7,2608000,364.261072391301,0
"Maize",2017-02-01,"UKR",136919.2,28589000,208.801979561668,0
"Maize",2017-02-01,"USA",5526.9,2613000,472.778591977419,0
"Maize",2017-03-01,"UKR",0,0,200.323565187951,1
"Maize",2017-03-01,"USA",2570.2,1923000,748.190802272197,0
"Maize",2017-04-01,"UKR",0,0,205.69927226714,1
"Maize",2017-04-01,"USA",733.5,551000,751.192910702114,0
"Maize",2017-05-01,"UKR",22574.2,4545999.99999999,201.380336844716,0
"Maize",2017-05-01,"USA",10587.1,2244000,211.956059733071,0
"Maize",2017-06-01,"UKR",286261.4,58013000,202.657431284833,0
"Maize",2017-06-01,"USA",71978.7,14556000,202.226492003884,0
"Maize",2017-07-01,"UKR",596462,120890000,202.678460656337,0
"Maize",2017-07-01,"USA",288063.7,57607000,199.980073851721,0
"Maize",2017-08-01,"UKR",226179.8,46505000,205.610757459331,0
"Maize",2017-08-01,"USA",140811.7,28118000,199.685111393442,0
"Maize",2017-09-01,"UKR",52500,10826000,206.209523809524,0
"Maize",2017-09-01,"USA",174965,35054000,200.348641156803,0
"Maize",2017-10-01,"UKR",0,0,203.026590500433,1
"Maize",2017-10-01,"USA",39891.5,8884000,222.704084830102,0
"Maize",2017-11-01,"UKR",1970.70000000019,422999.999999993,214.644542548309,0
"Maize",2017-11-01,"USA",5216.09999999998,2570000,492.705277889613,0
"Maize",2017-12-01,"UKR",348785.5,69879000,200.349498473991,0
"Maize",2017-12-01,"USA",9130.79000000004,3154000.00000001,345.424656574075,0
"Rice",2013-01-01,"PAK",128586,56218000,437.201561600796,0
"Rice",2013-01-01,"THI",27436.4,24953000,909.485209429808,0
"Rice",2013-01-01,"VIN",143099.7,62223000,434.822714513028,0
"Rice",2013-02-01,"PAK",49173,20571000,418.339332560551,0
"Rice",2013-02-01,"THI",15532.1,14683000,945.332569324174,0
"Rice",2013-02-01,"VIN",57145.3,22940000,401.432838746144,0
"Rice",2013-03-01,"PAK",62109,25371000,408.491522967686,0
"Rice",2013-03-01,"THI",27411.2,23776000,867.382675694607,0
"Rice",2013-03-01,"VIN",175933.6,73658000,418.669316151093,0
"Rice",2013-04-01,"PAK",49840,20860000,418.539325842697,0
"Rice",2013-04-01,"THI",28566.8,23012000,805.550499180867,0
"Rice",2013-04-01,"VIN",220344.6,91341000,414.537047878641,0
"Rice",2013-05-01,"PAK",22181,9426000,424.958297642126,0
"Rice",2013-05-01,"THI",16249,15004000,923.379900301557,0
"Rice",2013-05-01,"VIN",118500.7,51393000,433.693640628283,0
"Rice",2013-06-01,"PAK",14613.4,5846999.99999999,400.112225765392,0
"Rice",2013-06-01,"THI",11074.6,10835000,978.36490708468,0
"Rice",2013-06-01,"VIN",135938,54403000,400.204504994924,0
"Rice",2013-07-01,"PAK",10766,4080000,378.970834107375,0
"Rice",2013-07-01,"THI",13198.9,12603000,954.852298297587,0
"Rice",2013-07-01,"VIN",118279.6,46967000,397.084535287573,0
"Rice",2013-08-01,"PAK",7516.5,2848000.00000001,378.89975387481,0
"Rice",2013-08-01,"THI",11492.8,11274000,980.961993595991,0
"Rice",2013-08-01,"VIN",95520.1000000001,39652000,415.116818345039,0
"Rice",2013-09-01,"PAK",10009,3747999.99999999,374.462983315016,0
"Rice",2013-09-01,"THI",29774.2,20168000,677.364966984839,0
"Rice",2013-09-01,"VIN",103017.8,42566000.0000001,413.190730145665,0
"Rice",2013-10-01,"PAK",4399,1706000,387.815412593772,0
"Rice",2013-10-01,"THI",27783.5,17008000,612.161894649702,0
